w_connect,w_block,w_center,win_rate_vs_random,wins_vs_random,losses_vs_random,draws_vs_random,avg_turns_win_vs_random,avg_turns_loss_vs_random,win_rate_vs_intuitive_gamer,wins_vs_intuitive_gamer,losses_vs_intuitive_gamer,draws_vs_intuitive_gamer,avg_turns_win_vs_intuitive_gamer,avg_turns_loss_vs_intuitive_gamer,win_rate_vs_mcts,wins_vs_mcts,losses_vs_mcts,draws_vs_mcts,avg_turns_win_vs_mcts,avg_turns_loss_vs_mcts
0.2,0.6,0.4,0.64,32,8,10,7.19,7.5,0.42,21,26,3,6.81,6.08,0.04,2,47,1,6.0,6.89
0.2,0.6,0.6,0.64,32,16,2,6.44,7.62,0.6,30,15,5,6.73,6.53,0.14,7,35,8,5.29,6.8
0.2,0.6,0.8,0.68,34,12,4,7.0,7.33,0.42,21,27,2,6.81,6.59,0.14,7,38,5,5.86,6.79
0.2,0.6,1.0,0.82,41,7,2,7.39,7.71,0.64,32,17,1,6.88,6.59,0.14,7,32,11,6.43,6.81
0.2,0.6,1.2,0.78,39,9,2,6.9,6.67,0.48,24,24,2,7.58,6.33,0.06,3,39,8,5.67,6.46
0.2,0.6,1.4,0.66,33,9,8,6.76,6.67,0.5,25,23,2,7.0,6.43,0.18,9,35,6,7.0,6.8
0.2,0.6,1.6,0.76,38,9,3,6.42,7.11,0.4,20,28,2,6.7,6.36,0.24,12,27,11,5.67,6.59
0.2,0.6,1.8,0.76,38,8,4,6.53,7.0,0.46,23,23,4,7.0,6.43,0.14,7,34,9,5.57,6.88
0.2,0.6,2.0,0.72,36,6,8,6.5,7.0,0.56,28,18,4,7.07,6.67,0.14,7,33,10,5.86,6.97
0.2,0.8,0.0,0.62,31,12,7,7.32,6.83,0.52,26,23,1,6.38,6.17,0.14,7,39,4,6.43,6.97
0.2,0.8,0.2,0.74,37,8,5,6.57,7.25,0.34,17,27,6,6.65,6.22,0.1,5,39,6,6.6,6.77
0.2,0.8,0.4,0.74,37,11,2,6.73,7.09,0.48,24,22,4,7.17,6.36,0.08,4,37,9,6.5,6.65
0.2,0.8,0.6,0.8,40,7,3,6.85,7.43,0.5,25,22,3,7.16,6.27,0.16,8,34,8,5.75,6.82
0.2,0.8,0.8,0.7,35,11,4,7.06,7.09,0.48,24,23,3,6.67,6.17,0.14,7,39,4,6.14,6.56
0.2,0.8,1.0,0.66,33,13,4,6.82,7.23,0.5,25,21,4,7.08,6.48,0.1,5,40,5,6.2,6.7
0.2,0.8,1.2,0.76,38,7,5,6.42,7.71,0.34,17,30,3,6.88,6.4,0.08,4,34,12,7.5,6.59
0.2,0.8,1.4,0.8,40,6,4,6.55,7.67,0.48,24,23,3,6.83,6.61,0.22,11,33,6,5.91,6.91
